original_item_code,raw_description,raw_uom,raw_category,source_organization,approx_unit_cost_inr
CR-BEAR-6205,BALL BEARING 6205-2RS SKF DEEP GROOVE,NOS,Mechanical Spares,Indian Railways (Northern),480.00
NR-6205-2RS,SKF DEEP GROOVE BALL BEARING 6205 2RS BORE 25MM,NOS,Bearings,Northern Railway Locomotive Workshop,510.00
CIL-BEAR-6205RS,BEARING BALL 6205 2RS RUBBER SEAL SKF,NOS,Electrical & Rotating Spares,Coal India Limited,495.00
CIL-BLT-1250,HEX HEAD BOLT M12X50 GRADE 8.8 FULL THREAD ZINC,KGS,Fasteners,Coal India Limited,120.00
SAIL-FAST-1250,M12 X 50 MM HEXAGONAL BOLT GR 8.8 GALVANIZED,NOS,Standard Hardware,Steel Authority of India Ltd,12.50
IOCL-VLV-4INCH,4 INCH BALL VALVE CLASS 300 FLANGE END WCB BODY,NOS,Piping & Valves,Indian Oil Corporation (Panipat),19200.00
ONGC-VLV-100,BALL VALVE 100MM CL300 FLANGED ASTM A216 WCB,NOS,Valves,Oil and Natural Gas Corp (Hazira),18500.00
NTPC-CBL-3C185,1.1KV 3 CORE 185 SQMM XLPE ARMOURED ALUMINIUM CABLE,MTR,Cables & Conductors,NTPC Vindhyachal,620.00
BHEL-CBL-185-3C,CABLE XLPE 3CX185 SQMM AL ARMD 1100V GRADE,MTR,Electrical Spares,BHEL Haridwar,645.00
GAIL-GAS-GKT-80,SPIRAL WOUND GASKET 80MM NB 300# SS316 WITH GRAPHITE FILLER,NOS,Gaskets & Seals,GAIL India Ltd,340.00
